min_gap_atr,min_body_ratio,min_range_atr,invalidate_buffer_atr,touch_tol_atr,sl_buffer_atr,max_fvg_age,piv_left,piv_right,min_rr,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
0.5,0.5,0.6,0.05,0.05,0.05,60,3,3,1.5,47,0.6670855308871284,0.2127659574468085,-0.36233915961680224,28,0.6753471211064234,0.17857142857142858,-0.4191278119475949,-2666.877961025879,-4163.731491575716,4.357142857142857
0.5,0.5,0.6,0.05,0.05,0.05,60,3,2,1.5,47,0.6670855308871284,0.2127659574468085,-0.36233915961680224,29,0.645487286001193,0.1724137931034483,-0.4483532896965284,-3046.877961025879,-4163.731491575716,4.206896551724138
0.5,0.5,0.6,0.05,0.05,0.05,60,5,3,1.5,48,0.6096185324060753,0.1875,-0.43578720036827373,28,0.7392580926281809,0.17857142857142858,-0.3566278119475949,-2141.877961025879,-4163.731491575716,4.464285714285714
0.5,0.5,0.6,0.05,0.05,0.05,60,5,2,1.5,48,0.6096185324060753,0.1875,-0.43578720036827373,29,0.7065724942800004,0.1724137931034483,-0.3880084621103215,-2521.877961025879,-4163.731491575716,4.310344827586207
0.75,0.5,0.6,0.05,0.05,0.05,60,5,3,1.0,40,0.8805978852581129,0.2,-0.12384051886519205,24,0.6009646183473857,0.16666666666666666,-0.45492596107208233,-2710.069950921985,-2718.018176600992,8.958333333333334
0.5,0.5,0.6,0.05,0.05,0.05,60,3,3,2.0,31,0.928000937866804,0.22580645161290322,-0.1129295293999339,23,0.592354896004628,0.13043478260869565,-0.504189758947553,-3013.719845263251,-3629.6093127277127,3.8260869565217392
0.5,0.5,0.6,0.05,0.05,0.05,60,3,2,2.0,31,0.928000937866804,0.22580645161290322,-0.1129295293999339,23,0.592354896004628,0.13043478260869565,-0.504189758947553,-3013.719845263251,-3629.6093127277127,3.8260869565217392
0.5,0.5,0.6,0.05,0.05,0.1,60,5,3,1.0,51,0.6412881901493955,0.19607843137254902,-0.3855035177281146,34,0.5893157661411351,0.17647058823529413,-0.46462630140980127,-4075.70192377059,-4510.676346469438,4.647058823529412
0.5,0.5,0.6,0.05,0.05,0.1,60,5,3,1.5,48,0.7069011933257724,0.20833333333333334,-0.3167000336334513,32,0.589233151107747,0.15625,-0.4837764817284528,-3900.7657364082697,-4173.799879433958,5.96875
0.5,0.5,0.6,0.05,0.05,0.05,60,3,3,1.0,51,0.587563597624614,0.19607843137254902,-0.4477332047563418,34,0.5780061655059259,0.17647058823529413,-0.49423919118622406,-4234.941076770119,-4478.731491575716,4.5
0.75,0.5,0.6,0.05,0.05,0.05,60,5,2,1.0,40,0.8805978852581129,0.2,-0.12384051886519205,25,0.5691212290049005,0.16,-0.4873955892958656,-3090.069950921985,-2718.018176600992,8.6
0.5,0.5,0.6,0.05,0.05,0.1,60,5,2,1.0,51,0.6412881901493955,0.19607843137254902,-0.3855035177281146,35,0.5678104487766119,0.17142857142857143,-0.48716614368920097,-4451.571227704568,-4642.75722241481,4.514285714285714
0.5,0.5,0.6,0.05,0.05,0.1,60,5,2,1.5,48,0.7069011933257724,0.20833333333333334,-0.3167000336334513,33,0.5667989099871814,0.15151515151515152,-0.5071020665605842,-4276.6350403422475,-4467.82103505249,5.787878787878788
0.75,0.5,0.6,0.05,0.05,0.1,60,5,3,1.0,40,1.0256030046349973,0.225,0.0004416180726154684,24,0.5610998695779232,0.16666666666666666,-0.4672722694574298,-2984.41143470956,-2794.6321608343787,9.041666666666666
0.5,0.5,0.6,0.05,0.05,0.05,60,3,2,1.0,51,0.587563597624614,0.19607843137254902,-0.4477332047563418,35,0.5569182440456734,0.17142857142857143,-0.5163085476285225,-4614.941076770119,-4478.731491575716,4.371428571428571
0.5,0.5,0.6,0.05,0.05,0.1,60,3,3,2.0,31,0.8829935492392675,0.22580645161290322,-0.1522141308310679,23,0.5553912491328062,0.13043478260869565,-0.522115809108399,-3227.3672278937956,-3774.5089767639,4.3478260869565215
0.5,0.5,0.6,0.05,0.05,0.1,60,3,2,2.0,31,0.8829935492392675,0.22580645161290322,-0.1522141308310679,23,0.5553848892783941,0.13043478260869565,-0.5221141688332948,-3227.450351330939,-3774.5921002010436,4.3478260869565215
0.5,0.5,0.6,0.05,0.05,0.05,60,5,3,1.0,51,0.551170417080524,0.17647058823529413,-0.49875537789307034,34,0.6303201786393404,0.17647058823529413,-0.44276860295093,-3709.9410767701193,-4478.731491575716,4.588235294117647
0.5,0.5,0.6,0.05,0.05,0.05,60,5,2,1.0,51,0.551170417080524,0.17647058823529413,-0.49875537789307034,35,0.607323637745483,0.17142857142857143,-0.4663085476285224,-4089.9410767701193,-4478.731491575716,4.457142857142857
0.5,0.5,0.6,0.05,0.05,0.1,60,3,3,1.0,51,0.6290986312000157,0.21568627450980393,-0.39053742936856994,34,0.5406467298220313,0.17647058823529413,-0.512618070363477,-4558.70192377059,-4510.676346469438,4.5588235294117645
0.5,0.5,0.6,0.05,0.05,0.05,60,5,3,2.0,31,0.928000937866804,0.22580645161290322,-0.1129295293999339,25,0.5387054464882506,0.12,-0.5626820342077253,-3749.8629631507065,-4365.609312727713,3.68
0.5,0.5,0.6,0.05,0.05,0.05,60,5,2,2.0,31,0.928000937866804,0.22580645161290322,-0.1129295293999339,25,0.5387054464882506,0.12,-0.5626820342077253,-3749.8629631507065,-4365.609312727713,3.68
0.5,0.5,0.6,0.05,0.05,0.1,60,3,3,1.5,47,0.6690590550870343,0.2127659574468085,-0.3543902783083788,32,0.5383733276386108,0.15625,-0.5347679271147421,-4383.728967622526,-4173.763110648215,5.875
0.75,0.5,0.6,0.05,0.05,0.1,60,5,2,1.0,40,1.025593593103621,0.225,0.0004431854703288218,25,0.5316921458517819,0.16,-0.49871944221515435,-3360.5034820535875,-2985.4614470460874,8.68
0.5,0.5,0.6,0.05,0.05,0.1,60,3,2,1.0,51,0.6290986312000157,0.21568627450980393,-0.39053742936856994,35,0.5209174434616018,0.17142857142857143,-0.5337867192442002,-4934.571227704568,-4642.75722241481,4.428571428571429
0.5,0.5,0.6,0.05,0.05,0.1,60,3,2,1.5,47,0.6690590550870343,0.2127659574468085,-0.3543902783083788,33,0.5178754279414398,0.15151515151515152,-0.5565483166321374,-4759.598271556504,-4467.784266266746,5.696969696969697
0.5,0.5,0.6,0.05,0.05,0.1,60,5,3,2.0,31,0.882985553623628,0.22580645161290322,-0.1522132911174575,25,0.5064034322272081,0.12,-0.5781662957845899,-3929.440504077458,-4476.450584491104,4.16
